PlayTime,carspeed,isbooster
0.0,0.3924,False
0.0,0.7848,False
0.4,7.063198,False
0.5,0.08573787,False
0.6,0.08074322,False
0.6,0.0691442,False
0.6,0.05729254,False
0.7,0.05729254,False
0.7,0.04630427,False
0.7,0.04630427,False
0.7,0.03667541,False
0.7,0.03667541,False
0.7,0.02853547,False
0.7,0.02190129,False
0.7,0.02190129,False
0.7,0.01659187,False
0.8,0.01659187,False
0.8,0.0124153,False
0.8,0.0124153,False
0.8,0.0091867,False
0.8,0.0091867,False
0.8,0.006722616,False
0.8,0.006722616,False
0.8,0.004867267,False
0.8,0.004867267,False
0.9,0.003472287,False
0.9,0.002465663,False
0.9,0.002465663,False
0.9,1.342384,False
0.9,1.97961,False
0.9,1.97961,False
0.9,2.611554,False
1.0,2.611554,False
1.0,3.237988,False
1.0,3.858648,False
1.0,3.858648,False
1.0,4.48545,False
1.0,4.766394,False
1.0,4.766394,False
1.0,5.531961,False
1.1,5.531961,False
1.1,6.256215,False
1.1,6.256215,False
1.1,6.958212,False
1.1,7.143227,False
1.1,7.143227,False
1.1,7.885108,False
1.1,7.885108,False
1.1,8.523987,False
1.2,8.523987,False
1.2,9.218697,False
1.2,9.218697,False
1.2,9.591598,False
1.2,9.591598,False
1.2,10.2739,False
1.2,10.2739,False
1.2,10.74561,False
1.2,10.74561,False
1.2,11.39765,False
1.2,11.39765,False
1.3,11.84912,False
1.3,11.84912,False
1.3,12.47182,False
1.3,12.91987,False
1.3,12.91987,False
1.3,12.91987,False
1.3,13.51578,False
1.3,13.51578,False
1.3,13.95691,False
1.4,14.52535,False
1.4,14.52535,False
1.4,14.95815,False
1.4,15.49547,False
1.4,15.49547,False
1.4,15.92017,False
1.4,15.92017,False
1.4,15.92017,False
1.4,16.42865,False
1.5,16.42865,False
1.5,16.84407,False
1.5,17.32568,False
1.5,17.73049,False
1.5,17.73049,False
1.5,18.18691,False
1.5,18.18691,False
1.5,18.18691,False
1.5,18.57985,False
1.6,18.57985,False
1.6,19.01271,False
1.6,19.01271,False
1.6,19.39275,False
1.6,19.80331,False
1.6,19.80331,False
1.6,19.80331,False
1.6,20.16983,False
1.6,20.55919,False
1.7,20.55919,False
1.7,20.9117,False
1.7,20.9117,False
1.7,21.28094,False
1.7,21.28094,False
1.7,21.61907,False
1.7,21.61907,False
1.7,21.96912,False
1.7,21.96912,False
1.7,22.29275,False
1.8,22.29275,False
1.8,22.62443,False
1.8,22.62443,False
1.8,22.93355,False
1.8,23.24778,False
1.8,23.24778,False
1.8,23.54239,False
1.8,23.54239,False
1.8,23.54239,False
1.8,23.83992,False
1.9,24.12033,False
1.9,24.12033,False
1.9,24.40171,False
