PlayTime,carspeed,isbooster
0.0,0.3924,False
0.0,0.7848,False
0.4,7.063198,False
0.4,1.18792,False
0.5,0.6608931,False
0.5,0.3270462,False
0.5,0.05734621,False
0.5,0.08572907,False
0.6,0.09365179,False
0.6,0.08074288,False
0.6,0.06913909,False
0.6,0.05729425,False
0.7,0.05729425,False
0.7,0.04629276,False
0.7,0.04629276,False
0.7,0.0366743,False
0.7,0.0366743,False
0.7,0.02855498,False
0.7,0.02191142,False
0.7,0.01658217,False
0.8,0.01240834,False
0.8,0.009179862,False
0.8,0.009179862,False
0.8,0.00671533,False
0.8,0.004853553,False
0.8,0.003486443,False
0.9,0.002460521,False
0.9,0.001718955,False
0.9,0.001718955,False
0.9,0.001199148,False
0.9,0.000804129,False
0.9,0.0005377448,False
1.0,0.0003574497,False
1.0,1.299472,False
1.0,1.937094,False
1.0,1.937094,False
1.0,2.569406,False
1.1,3.196219,False
1.1,3.196219,False
1.1,3.817275,False
1.1,4.443676,False
1.1,4.724559,False
1.1,5.490716,False
1.2,6.218465,False
1.2,6.218465,False
1.2,6.920182,False
1.2,7.101496,False
1.2,7.844229,False
1.2,8.487363,False
1.3,9.182154,False
1.3,9.182154,False
1.3,9.553568,False
1.3,10.23639,False
1.3,10.70923,False
1.3,11.36172,False
1.4,11.8137,False
1.4,11.8137,False
1.4,12.43688,False
1.4,13.60613,True
1.4,14.93788,True
1.4,16.06311,True
1.5,17.34772,True
1.5,17.34772,True
1.5,18.44744,True
1.5,19.68283,True
1.5,20.75748,True
1.5,21.94175,True
1.6,22.98906,True
1.6,22.98906,True
1.6,24.12309,True
1.6,25.14023,True
1.6,26.22458,True
1.6,27.2089,True
1.7,28.24422,True
1.7,28.24422,True
1.7,29.19339,True
1.7,30.18033,True
1.7,31.09266,True
1.7,32.03179,True
1.8,32.90599,True
1.8,32.90599,True
1.8,33.79808,True
1.8,34.63332,True
1.8,35.47924,True
1.8,36.27504,True
1.9,37.07582,True
1.9,37.07582,True
1.9,37.83207,True
1.9,38.58884,True
1.9,39.30589,True
1.9,40.01985,True
2.0,40.6983,True
2.0,40.6983,True
2.0,41.37072,True
2.0,42.01162,True
2.0,42.64706,True
2.0,43.25929,True
2.1,43.86677,True
2.1,43.86677,True
2.1,44.45598,True
2.1,45.03574,True
2.1,45.59174,True
2.1,46.13501,True
2.2,46.65378,True
2.2,46.65378,True
2.2,47.1511,True
2.2,47.62269,True
2.2,48.07875,True
2.3,48.52467,True
2.3,48.96137,True
2.3,48.96137,True
2.3,49.38852,True
2.3,49.79539,True
2.3,49.79399,True
2.3,49.79369,True
2.4,49.79025,True
2.4,49.79025,True
2.4,49.78666,True
2.4,49.78351,True
