PlayTime,carspeed,isbooster
0.0,0.3924,False
0.0,0.7848,False
0.4,7.063198,False
0.6,0.09365378,False
0.6,0.05729821,False
0.7,0.03667276,False
0.7,0.02190975,False
0.7,0.02190975,False
0.7,0.01660038,False
0.8,0.0124093,False
0.8,0.0124093,False
0.8,0.009184867,False
0.8,0.009184867,False
0.8,0.006716956,False
0.8,0.004854154,False
0.8,0.004854154,False
0.8,0.003474737,False
0.9,0.002450938,False
0.9,0.002450938,False
0.9,0.001719366,False
0.9,0.001192379,False
0.9,0.001192379,False
0.9,0.0008173463,False
0.9,0.0008173463,False
0.9,0.0005330308,False
1.0,0.0003571834,False
1.0,0.0003571834,False
1.0,0.000225974,False
1.0,0.000225974,False
1.0,0.0001439769,False
1.0,9.682985E-05,False
1.0,6.812524E-05,False
1.1,6.812524E-05,False
1.1,5.058301E-05,False
1.1,5.058301E-05,False
1.1,1.93708,False
1.1,2.569392,False
1.2,2.569392,False
1.2,3.196206,False
1.2,3.817262,False
1.2,3.817262,False
1.2,4.443664,False
1.2,4.443664,False
1.2,4.724566,False
1.2,4.724566,False
1.2,5.49072,False
1.3,6.218419,False
1.3,6.218419,False
1.3,6.920142,False
1.3,6.920142,False
1.3,7.101544,False
1.3,7.844269,False
1.3,8.487344,False
1.4,8.487344,False
1.4,9.182137,False
1.4,9.182137,False
1.4,9.553629,False
1.4,10.23643,False
1.4,10.23643,False
1.4,10.70923,False
1.4,10.70923,False
1.4,11.36173,False
1.5,11.81372,False
1.5,12.4369,False
1.5,12.4369,False
1.5,13.60622,True
1.5,13.60622,True
1.5,14.93791,True
1.5,16.06326,True
1.6,16.06326,True
1.6,17.34784,True
1.6,17.34784,True
1.6,18.44761,True
1.6,19.68292,True
1.6,19.68292,True
1.6,20.75764,True
1.6,21.94182,True
1.7,21.94182,True
1.7,22.98921,True
1.7,22.98921,True
1.7,24.12314,True
1.7,24.12314,True
1.7,25.14033,True
1.7,26.22465,True
1.7,26.22465,True
1.7,27.20903,True
1.8,27.20903,True
1.8,28.24422,True
1.8,29.19359,True
1.8,30.18028,True
1.8,30.18028,True
1.8,31.09285,True
1.8,31.09285,True
1.8,32.03177,True
1.9,32.03177,True
1.9,32.90614,True
1.9,33.79807,True
1.9,33.79807,True
1.9,34.63349,True
1.9,35.47919,True
1.9,36.27522,True
2.0,36.27522,True
2.0,37.07579,True
2.0,37.07579,True
2.0,37.83224,True
2.0,38.58886,True
2.0,38.58886,True
2.0,39.30601,True
2.0,39.30601,True
2.0,40.01967,True
2.1,40.69918,True
2.1,40.69918,True
2.1,41.3796,True
2.1,42.03217,True
2.1,42.03217,True
2.1,42.68314,True
2.1,42.68314,True
